file_id,branch_id,model,a,b,fit_rss,fit_r2,pipeline_version
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000290250],1,odd_cubic,0.0,0.0,39.47307958204114,0.5891003517855727,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000290250],1,odd_kink,-0.00023148122006353707,8.194159901248403e-07,35.41395234926009,0.6313543124511136,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000291000],1,odd_cubic,0.0,0.0,12.074924188152881,0.37192197780294955,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000291000],1,odd_kink,-7.038612001716492e-08,7.515137338984307e-07,11.553372643868059,0.39905051768476707,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000291750],1,odd_cubic,0.0,0.0,22.877298162993142,0.3841035955283939,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000291750],1,odd_kink,-0.19999998287088983,2.4626118e-06,20.271047694749733,0.45426836241245416,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000292500],1,odd_cubic,0.0,0.0,16.515675526274403,0.49739439877187075,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000292500],1,odd_kink,-0.19999999997023318,2.4514126349999997e-06,13.918530828059827,0.5764307948578771,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000293250],1,odd_cubic,0.0,0.0,7.678637040211017,0.03229946002740036,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000293250],1,odd_kink,-0.19999999914259364,2.0259429549999996e-06,7.66390487794809,0.03415608136555481,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000294000],1,odd_cubic,0.0,0.0,55.79476748881337,0.023753587020071687,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000294000],1,odd_kink,-8.280872287821618e-06,1.9449519876503074e-19,55.79476748881339,0.023753587020071354,6.0
