file_id,branch_id,model,odd_ratio_post_before,odd_ratio_post_after,odd_ratio_post_reduction,warp_magnitude,pipeline_version
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000282000],1,odd_cubic,68.37392983815413,68.37392983815413,0.0,0.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000282000],1,odd_kink,68.37392983815413,68.05121896832989,0.004719794088011525,9.077569767972314e-06,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000282750],1,odd_cubic,46.64843773557546,46.64843773557546,0.0,0.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000282750],1,odd_kink,46.64843773557546,46.73281577225917,-0.001808807342316639,0.2000019429094156,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000283500],1,odd_cubic,42.1183089799662,42.1183089799662,0.0,0.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000283500],1,odd_kink,42.1183089799662,42.11444093184044,9.18376881559961e-05,0.0005737727656889713,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000284250],1,odd_cubic,65.6638186361784,65.6638186361784,0.0,0.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000284250],1,odd_kink,65.6638186361784,65.52426497359811,0.0021252748542316497,2.3686959968663704e-05,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000285000],1,odd_cubic,76.27160471602164,76.27160471602164,0.0,0.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000285000],1,odd_kink,76.27160471602164,75.9109501034123,0.004728556766992717,3.18567536854408e-05,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000285750],1,odd_cubic,64.47870570208055,64.47870570208055,0.0,0.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000285750],1,odd_kink,64.47870570208055,64.71758173148939,-0.0037047274260211295,0.0005058890436542302,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000286500],1,odd_cubic,43.75825550988857,43.75825550988857,0.0,0.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000286500],1,odd_kink,43.75825550988857,43.84659581116636,-0.0020188259392065052,0.001339127065597998,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000287250],1,odd_cubic,35.92220064651465,35.92220064651465,0.0,0.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000287250],1,odd_kink,35.92220064651465,36.04108619941947,-0.003309528669323017,0.0013257805301508034,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000288000],1,odd_cubic,30.82012514741332,30.82012514741332,0.0,0.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000288000],1,odd_kink,30.82012514741332,30.654960150776997,0.005358998246968068,0.0031415211809769786,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000288750],1,odd_cubic,30.69353446258193,30.69353446258193,0.0,0.0,6.0
