file_id,segment_id,segment_dir,condition_group,condition_value,pipeline_version,I_min,I_max,N_points,has_both_signs,sweep_monotonicity,sweep_direction,n_segments,spacing_cv,parity_valid,parity_reason,f_overlap,I_max_common,odd_ratio_L1,odd_energy_L2,odd_sign_mode,odd_sign_consistency,odd_sign_entropy,odd_sign_pos_fraction,I_knee,I_knee_norm,knee_score,knee_valid,knee_edge_flag,phi0_proxy,phi0_sign,phi0_confidence,phi0_method,odd_ratio_pre,odd_ratio_post,odd_sign_mode_pre,odd_sign_consistency_pre,odd_sign_entropy_pre,odd_sign_mode_post,odd_sign_consistency_post,odd_sign_entropy_post,parity_lock_flag,parity_flip_at_knee
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000126750],0,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.00012675,5.5,-3.657641e-07,2.239511e-05,2518,True,0.5002500750225067,down,3,0.0964678404730606,False,low_overlap,0.0160945979681899,,,,,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000126750],1,down,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.00012675,5.5,-2.268174e-05,2.239481e-05,5002,True,0.5002500750225067,down,3,0.0964678404730606,True,ok,0.9873218903137272,2.239481e-05,2.7479396799260813,0.6901874514156416,1.0,0.9800498753117208,0.1411604155131936,0.9800498753117208,1.3716821125e-05,0.6115288220551378,4092.659577257604,True,False,1.920479828489602,1.0,1.0,odd_integral,0.0542721326045685,7.273730925109083,1.0,0.9673469387755104,0.2075271227213972,1.0,1.0,0.0,False,False
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000126750],2,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.00012675,5.5,-2.268001e-05,-3.751229e-07,2480,True,0.5002500750225067,down,3,0.0964678404730606,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000127500],0,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.0001275,5.5,-3.648486e-07,2.239501e-05,2519,True,0.5000500050005,down,3,0.0893042357700063,False,low_overlap,0.0160171120735211,,,,,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000127500],1,down,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.0001275,5.5,-2.2682e-05,2.239496e-05,5000,True,0.5000500050005,down,3,0.0893042357700063,True,ok,0.9872409008914008,2.239496e-05,2.7269588081529026,0.6899266012900347,1.0,0.9351620947630924,0.3463574858305196,0.9351620947630924,1.3716913e-05,0.6115288220551378,3863.397494014575,True,False,1.9229994113737705,1.0,1.0,odd_integral,0.0534195994066916,7.2315099676844445,1.0,0.8938775510204081,0.4881081482910385,1.0,1.0,0.0,False,False
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000127500],2,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.0001275,5.5,-2.268144e-05,-3.757332e-07,2481,True,0.5000500050005,down,3,0.0893042357700063,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000128250],0,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.00012825,5.5,-3.651538e-07,2.239638e-05,2519,True,0.5000500050005,down,5,0.0926742901473454,False,low_overlap,0.0160528027191693,,,,,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000128250],1,down,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.00012825,5.5,-2.268139e-05,2.239623e-05,4999,True,0.5000500050005,down,5,0.0926742901473454,True,ok,0.987414824909274,2.239623e-05,2.5404863476209534,0.6874486397176396,1.0,0.9750623441396508,0.1683313025246251,0.9750623441396508,1.3717690875e-05,0.6115288220551378,3962.911002969077,True,False,1.946513409073329,1.0,1.0,odd_integral,0.0528787486654197,6.699862777878897,1.0,0.9591836734693876,0.2460225782203317,1.0,1.0,0.0,False,False
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000128250],2,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.00012825,5.5,-2.268078e-05,-3.757332e-07,2480,True,0.5000500050005,down,5,0.0926742901473454,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000129000],0,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.000129,5.5,-3.654081e-07,2.239511e-05,2516,True,0.5002500250025003,down,7,0.0915781416187096,False,low_overlap,0.0160854405875825,,,,,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000129000],1,down,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.000129,5.5,-2.268164e-05,2.239567e-05,5000,True,0.5002500250025003,down,7,0.0915781416187096,True,ok,0.9873459401246668,2.239567e-05,2.467511787322568,0.686275126302983,1.0,0.9850374064837906,0.1121348154454668,0.9850374064837906,1.3717347875000002e-05,0.6115288220551379,4111.005721416672,True,False,1.956539995943197,1.0,1.0,odd_integral,0.0569517352534766,6.559263355227002,1.0,0.9755102040816328,0.1659565426281792,1.0,1.0,0.0,False,False
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000129000],2,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.000129,5.5,-2.267849e-05,-3.751229e-07,2478,True,0.5002500250025003,down,7,0.0915781416187096,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000129750],0,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.00012975,5.5,-3.659676e-07,2.239664e-05,2519,True,0.5000500050005,down,5,0.0916308199919633,False,low_overlap,0.0160794706867164,,,,,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000129750],1,down,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,-0.00012975,5.5,-2.268184e-05,2.239648e-05,4999,True,0.5000500050005,down,5,0.0916308199919633,True,ok,0.9873952665287782,2.239648e-05,2.509325305562105,0.6869262161381632,1.0,0.9950124688279302,0.0453194500142322,0.9950124688279302,1.3717844e-05,0.6115288220551378,3945.086033326045,True,False,1.9507193638744629,1.0,1.0,odd_integral,0.0602153721241092,6.72474287957724,1.0,0.9918367346938776,0.0683545170588775,1.0,1.0,0.0,False,False
