file_id,n_points,I_min,I_max,I_range,spacing_cv,spacing_outlier_flag,x_name,pipeline_version,device_id,experiment_family,T_K,Vgain,Igain,FRQ_Hz,AVG,Vpp,I_coil_mA,run_id,B_proxy
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000029250],10000,-2.268134e-05,2.239486e-05,4.50762e-05,0.09484471709809804,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-2.925e-05,000029250,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000030000],10000,-2.268215e-05,2.239445e-05,4.50766e-05,0.0958875255168697,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-3e-05,000030000,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000030750],10000,-2.26823e-05,2.23947e-05,4.5077e-05,0.09303324790444252,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-3.075e-05,000030750,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000031500],10000,-2.268215e-05,2.239557e-05,4.507772e-05,0.094977041887658,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-3.15e-05,000031500,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000032250],10000,-2.26823e-05,2.239603e-05,4.507833e-05,0.09326887941219879,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-3.225e-05,000032250,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000033000],10000,-2.268195e-05,2.239557e-05,4.507752e-05,0.09473980718402458,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-3.3e-05,000033000,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000033750],10000,-2.268154e-05,2.239481e-05,4.507635e-05,0.0898486882387978,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-3.375e-05,000033750,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000034500],10000,-2.268235e-05,2.23945e-05,4.5076850000000005e-05,0.0898781068025988,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-3.45e-05,000034500,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000035250],10000,-2.268312e-05,2.23946e-05,4.507772e-05,0.09187018789850661,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-3.525e-05,000035250,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000036000],10000,-2.268195e-05,2.239491e-05,4.507686e-05,0.09119158926762172,False,I_A,6.0,BS30_A1S1,Fig2,1.4,,,,,,-3.6e-05,000036000,
