file_id,branch_id,direction,n_points,monotonicity,parity_valid,overlap_fraction,pipeline_version,x_name,device_id,experiment_family,T_K,Vgain,Igain,FRQ_Hz,AVG,Vpp,odd_ratio_L1,odd_energy_L2,odd_ratio_post,odd_ratio_pre,parity_lock_after_knee,phi0_proxy,phi0_confidence,I_knee,I_knee_norm,knee_score,knee_valid,knee_edge_flag,odd_energy_ratio,odd_energy_post,odd_energy_pre,odd_flatness,corr_pm,coherence_stability,noise_flatness,I_coil_mA,run_id,B_proxy,odd_energy_ratio_log,odd_energy_ratio_norm,knee_score_norm,alignment_score
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000270000],1,down,4999,0.9997999199679872,True,0.9864950264656555,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,38.93378679954973,0.7068672633809996,112.31493423685214,0.5644292544821766,False,1.5861383547999193,1.0,1.2592299374999999e-05,0.5614035087719298,1727.6984277197148,True,False,6.3396124121398865,0.9940017911149087,0.15679220218654527,0.9970603098531667,-0.3385455382142436,0.9899170749091896,0.017677635384762684,0.00027,000270000,,1.9932860363466232,0.0,0.3726224916616348,0.4541798555236081
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000270000],2,up,2480,1.0,False,,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,0.00027,000270000,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000270750],0,up,2521,0.9996031746031746,False,,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,0.00027075,000270750,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000270750],1,down,5000,0.9997999599919984,True,0.9865705990035064,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,40.53609100379616,0.7069022102305451,112.44653136033773,0.6259437928162469,False,1.5862732234510184,1.0,1.264895445e-05,0.5639097744360902,1617.5203795546986,True,False,7.875244277563926,0.9934173403711214,0.12614432077915722,0.9987127684008086,-0.21958117583282744,0.9931009311642337,0.017670089312133003,0.00027075,000270750,,2.1832658592152496,0.05792326417136703,0.3446668146212883,0.4652303366522963
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000270750],2,up,2479,1.0,False,,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,0.00027075,000270750,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000271500],0,up,2521,0.9992063492063492,False,,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,0.0002715,000271500,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000271500],1,down,5000,0.9997999599919984,True,0.9865348280698586,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,65.8819488149673,0.7069708784537166,155.36015323984788,1.0561768366225575,False,1.5761677457359942,1.0,1.25920125e-05,0.5614035087719299,1784.9775361989996,True,False,5.710426345344308,0.9962015238238227,0.17445309046500743,0.9978988883760173,-0.13663156116371222,0.9891196881969364,0.017545293652705404,0.0002715,000271500,,1.903662487764536,0.0,0.3871560242888201,0.4587585708285855
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000271500],2,up,2479,1.0,False,,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,0.0002715,000271500,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000272250],0,up,2521,0.9992063492063492,False,,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,0.00027225,000272250,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000272250],1,down,5000,0.9997999599919984,True,0.9865150785727086,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,50.9296469835235,0.7069682967335189,120.99815575418916,0.9188486390710194,False,1.5825257652213218,1.0,1.2647807500000002e-05,0.5639097744360902,1583.0854161814168,True,False,2.9846812007632586,0.9928422003393855,0.33264597910239324,0.9982447376398833,-0.16342437218391126,0.972140072678143,0.017674519104230464,0.00027225,000272250,,1.382457309233556,0.0,0.33592956858187906,0.4360232137533407
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000272250],2,up,2479,1.0,False,,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,0.00027225,000272250,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000273000],0,up,2521,0.9992063492063492,False,,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,0.000273,000273000,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000273000],1,down,5000,0.9993998799759952,True,0.9865882670295337,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,87.34928104098488,0.7070275485974471,194.38995540292814,1.9496455231072845,False,1.5711032251634107,1.0,1.27036237e-05,0.5664160401002507,1698.2267976537514,True,False,1.554583865861375,0.9980908225554226,0.6420308639964166,0.9991655966836079,-0.06708155058096632,0.9373242187846007,0.017901166156709947,0.000273,000273000,,0.9378893398864727,0.0,0.3651446012315678,0.4341562733387228
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000273000],2,up,2479,1.0,False,,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,0.000273,000273000,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000273750],0,up,2522,0.9984133280444268,False,,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,0.00027375,000273750,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000273750],1,down,4999,0.9995998399359743,True,0.9865099812628606,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,81.48160494997809,0.7070416032985533,123.59862223061786,3.07432228569635,False,1.5666208304623948,1.0,1.2591354375e-05,0.5614035087719298,2241.6987620921277,True,False,1.3140138769209933,0.9945143579096134,0.7568522489569536,0.9990341844419852,-0.0793504821705531,0.9826391474521919,0.01792898526209554,0.00027375,000273750,,0.8389836256942955,0.0,0.5030407336405104,0.49522662703090076
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000273750],2,up,2479,1.0,False,,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,0.00027375,000273750,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000274500],0,up,2521,0.9988095238095238,False,,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,0.0002745,000274500,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000274500],1,down,5000,0.9997999599919984,True,0.9865433442189653,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,59.969190242824624,0.7070187162069844,73.9098405055504,3.8046116709266347,False,1.5587669543269822,1.0,1.264768885e-05,0.5639097744360902,2074.702632632405,True,False,1.242686744369405,0.9879872239784282,0.7950412511067176,0.9992907167719931,-0.029512774019403987,0.9978447372776911,0.017958540202581207,0.0002745,000274500,,0.8076745865647541,0.0,0.4606685012410781,0.4861710795062564
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000274500],2,up,2479,1.0,False,,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,0.0002745,000274500,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000275250],0,up,2520,0.999603017070266,False,,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,0.00027525,000275250,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000275250],1,down,5001,0.9996,True,0.9865998260206801,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,53.07277051547992,0.707024987226235,70.39632385211138,2.459600451667046,False,1.5589170936256385,1.0,1.2648525049999998e-05,0.5639097744360901,1910.3484663326917,True,False,1.4573673658876747,0.9860840909701903,0.6766201261602386,0.9990511963722836,-0.024859788339107892,0.9976418511910657,0.017856573631688376,0.00027525,000275250,,0.8990906004281318,0.0,0.41896661897112997,0.47220282338739855
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000275250],2,up,2479,1.0,False,,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,0.00027525,000275250,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000276000],0,up,2522,0.9988099960333201,False,,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,0.000276,000276000,,,,,
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000276000],1,down,4999,0.9997999199679872,True,0.9865638522927239,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,50.0430008601259,0.7070140707852096,63.087005783414924,2.4905445765977676,False,1.5545794907170296,1.0,1.2647751e-05,0.5639097744360902,1532.791878091608,True,False,1.3761870617489083,0.9836340682577214,0.7147531724403131,0.9981334719204247,-0.3839774345781133,0.9969963195528762,0.017659094362449935,0.000276,000276000,,0.8654971280936804,0.0,0.32316849746588616,0.4400549390062541
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000276000],2,up,2479,1.0,False,,6.0,I_A,BS30_A1S1,Fig2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,0.000276,000276000,,,,,
