file_id,branch_id,branch_dir,condition_group,condition_value,pipeline_version,I_min,I_max,N_points,meta_freq_Hz,meta_vpp,parity_valid,parity_reason,f_overlap,I_max_common,odd_ratio_L1,odd_energy_L2,odd_sign_mode,odd_sign_consistency,odd_sign_entropy,odd_sign_pos_fraction,I_knee,I_knee_norm,knee_score,knee_valid,knee_edge_flag,phi0_proxy,phi0_sign,phi0_confidence,phi0_method,odd_ratio_pre,odd_ratio_post,odd_sign_mode_pre,odd_sign_consistency_pre,odd_sign_entropy_pre,odd_sign_mode_post,odd_sign_consistency_post,odd_sign_entropy_post,parity_lock_flag,parity_flip_at_knee,meta_temp_K
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000015750],1,down,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,1.575e-05,6.0,-2.2682e-05,2.239216e-05,5000,,,True,ok,0.9871201381605819,2.239216e-05,2.7318915288008454,0.6896406893420697,1.0,0.9800498753117207,0.14116041551319367,0.9800498753117207,1.34912764e-05,0.6015037593984963,2888.251436807671,True,False,1.922344610159365,1.0,1.0,odd_integral,0.05910160502347465,6.967407899159191,1.0,0.966804979253112,0.2101699515642052,1.0,1.0,0.0,False,False,1.4
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000015750],2,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,1.575e-05,6.0,-2.267895e-05,-3.759875e-07,2479,,,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000016500],0,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,1.65e-05,6.0,-3.662728e-07,2.239399e-05,2521,,,False,low_overlap,0.01615498220999217,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000016500],1,down,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,1.65e-05,6.0,-2.268144e-05,2.23917e-05,5001,,,True,ok,0.9870682177787433,2.23917e-05,2.7405197263292256,0.6898089210677378,1.0,0.9675810473815462,0.2063813713316291,0.9675810473815462,1.349099925e-05,0.6015037593984961,3253.98789723309,True,False,1.921329770299647,1.0,1.0,odd_integral,0.05599250039277597,6.997501589650145,1.0,0.946058091286307,0.3029115786972012,1.0,1.0,0.0,False,False,1.4
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000016500],2,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,1.65e-05,6.0,-2.267905e-05,-3.7731e-07,2478,,,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000017250],0,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,1.725e-05,6.0,-3.671883e-07,2.239486e-05,2520,,,False,low_overlap,0.016164789030896902,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000017250],1,down,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,1.725e-05,6.0,-2.268235e-05,2.239191e-05,5001,,,True,ok,0.9871160768310048,2.239191e-05,2.740753896037872,0.6898352616417854,1.0,0.972568578553616,0.18134229137422572,0.972568578553616,1.354710555e-05,0.6040100250626568,3433.986897864505,True,False,1.9213022516544473,1.0,1.0,odd_integral,0.05954268639185891,7.063035585700579,1.0,0.9545454545454546,0.26676498780302593,1.0,1.0,0.0,False,False,1.4
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000017250],2,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,1.725e-05,6.0,-2.26793e-05,-3.767505e-07,2479,,,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000018000],0,up,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,1.8e-05,6.0,-3.657641e-07,2.239455e-05,2521,,,False,low_overlap,0.0161004579825171,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000018000],1,down,IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103,1.8e-05,6.0,-2.2682e-05,2.23918e-05,5000,,,True,ok,0.9870326711824755,2.23918e-05,2.818625080634867,0.6907753167130856,1.0,0.9850374064837906,0.11213481544546688,0.9850374064837906,1.3547039000000001e-05,0.6040100250626567,3898.427046032472,True,False,1.9123384229126705,1.0,1.0,odd_integral,0.06262896394513795,7.332965161653278,1.0,0.9752066115702479,0.16756763953194395,1.0,1.0,0.0,False,False,1.4
