file_id,segment_id,segment_dir,condition_group,condition_value,pipeline_version,I_min,I_max,N_points,dominant_direction,direction_pos_frac,direction_neg_frac,parity_valid,parity_reason,f_overlap,odd_energy_L2,odd_ratio_pre,odd_ratio_post,I_knee,I_knee_norm,knee_score,knee_valid,knee_edge_flag,coherence_gradient_pre,coherence_gradient_post,delta_coherence_gradient,odd_energy_pre_median,odd_energy_post_median,odd_flatness_pre_median,odd_flatness_post_median,corr_pm_pre_median,corr_pm_post_median,window_count_pre,window_count_post,knee_alignment_gain_odd_ratio_post,knee_alignment_gain_coherence_post
D4.2__Fig 2__SQUID_data__IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103__IVB__T_1p40K[0.000027750],0,up,IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103,2.775e-05,5.5,-3.640659e-07,2.010779e-05,2534,increasing,1.0,0.0,False,low_overlap,0.0177978394643121,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103__IVB__T_1p40K[0.000027750],1,down,IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103,2.775e-05,5.5,-2.041961e-05,2.010672e-05,5019,decreasing,0.0,1.0,True,ok,0.9846180229232834,0.5881326239317021,0.1493216322599213,2.3597575321715034,1.31196348e-05,0.6516290726817042,357.0864105455309,True,False,0.1510777595028511,0.5907389487885354,0.4396611892856842,0.0306996711824614,0.6789217932686691,0.9981717870214116,0.1852380214441876,-0.316402712742209,-0.9995208637627906,27.0,4.0,1.0195345924366468,0.7766305361138026
D4.2__Fig 2__SQUID_data__IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103__IVB__T_1p40K[0.000027750],2,up,IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103,2.775e-05,5.5,-2.041956e-05,-7.524021e-07,2444,increasing,1.0,0.0,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103__IVB__T_1p40K[0.000028125],0,up,IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103,2.8125e-05,5.5,-3.614719e-07,2.011292e-05,2530,increasing,1.0,0.0,False,low_overlap,0.0176496363282162,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103__IVB__T_1p40K[0.000028125],1,down,IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103,2.8125e-05,5.5,-2.041605e-05,2.011247e-05,5018,decreasing,0.0,1.0,True,ok,0.9846852018052956,0.5936506302551016,0.1460028090281953,2.380364210122255,1.3022824325e-05,0.6466165413533834,304.6980473034573,True,False,0.1561638225886318,0.580572341140127,0.4244085185514952,0.0253844718457562,0.6825393868840447,0.9930322939615512,0.183422105076123,-0.4915675062688222,-0.9990612870158504,27.0,4.0,0.9937277277669524,0.7818310814165194
D4.2__Fig 2__SQUID_data__IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103__IVB__T_1p40K[0.000028125],2,up,IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103,2.8125e-05,5.5,-2.041656e-05,-7.60591e-07,2444,increasing,1.0,0.0,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103__IVB__T_1p40K[0.000028500],0,up,IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103,2.85e-05,5.5,-3.898532e-07,2.010219e-05,2534,increasing,0.9996052112120016,0.0,False,low_overlap,0.019200724827859,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103__IVB__T_1p40K[0.000028500],1,down,IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103,2.85e-05,5.5,-2.039006e-05,2.010143e-05,5018,decreasing,0.0,1.0,True,ok,0.9855582988289916,0.5926675434554852,0.1501027710275809,2.3752847176060183,1.30659295e-05,0.6491228070175438,333.3061576540366,True,False,0.1531484490820287,0.5845349147191656,0.4313864656371369,0.0318343521168312,0.6807639356577964,0.9921854777472886,0.1837164949891399,-0.2280751514308117,-0.9993255239517632,27.0,4.0,1.0171957096264508,0.7767286157436204
D4.2__Fig 2__SQUID_data__IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103__IVB__T_1p40K[0.000028500],2,up,IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103,2.85e-05,5.5,-2.038899e-05,-7.255466e-07,2443,increasing,1.0,0.0,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103__IVB__T_1p40K[0.000028875],0,up,IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103,2.8875e-05,5.5,-3.906162e-07,2.009431e-05,2532,increasing,1.0,0.0,False,low_overlap,0.0190279703591515,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103__IVB__T_1p40K[0.000028875],1,down,IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103,2.8875e-05,5.5,-2.040211e-05,2.009222e-05,5019,decreasing,0.0,1.0,True,ok,0.9847592609236416,0.5943424227897353,0.1500869151578303,2.407734998139767,1.3059943e-05,0.649122807017544,363.8310325112287,True,False,0.1515640862257644,0.5885013370371622,0.4369372508113978,0.0314103753400168,0.6834459387730715,0.990746235873494,0.1843660828216462,-0.4770933849742392,-0.9994312919641284,27.0,4.0,1.021894526618478,0.7720321243895013
D4.2__Fig 2__SQUID_data__IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103__IVB__T_1p40K[0.000028875],2,up,IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103,2.8875e-05,5.5,-2.040064e-05,-7.406528e-07,2443,increasing,1.0,0.0,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103__IVB__T_1p40K[0.000029250],0,up,IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103,2.925e-05,5.5,-3.576572e-07,2.010412e-05,2533,increasing,1.0,0.0,False,low_overlap,0.0174697743612134,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103__IVB__T_1p40K[0.000029250],1,down,IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103,2.925e-05,5.5,-2.04307e-05,2.010301e-05,5019,decreasing,0.0,1.0,True,ok,0.9837509801669868,0.603646980721745,0.1538516405472984,2.499621805181568,1.3016698975e-05,0.6466165413533835,351.8232866676111,True,False,0.158141857290702,0.5724132498394432,0.4142713925487411,0.0323200228680785,0.6931217352357486,0.996788455611352,0.1842002242247059,-0.3832153288230441,-0.999262010894186,27.0,4.0,0.9814380936625096,1.0
D4.2__Fig 2__SQUID_data__IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103__IVB__T_1p40K[0.000029250],2,up,IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103,2.925e-05,5.5,-2.043049e-05,-7.613539e-07,2444,increasing,1.0,0.0,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103__IVB__T_1p40K[0.000029625],0,up,IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103,2.9625e-05,5.5,-3.661513e-07,2.012574e-05,2532,increasing,1.0,0.0,False,low_overlap,0.0178238510452129,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103__IVB__T_1p40K[0.000029625],1,down,IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103,2.9625e-05,5.5,-2.040821e-05,2.012498e-05,5018,decreasing,0.0,1.0,True,ok,0.9860720736089152,0.604540111495259,0.1476478594096452,2.4737171168078347,1.293029965e-05,0.6416040100250626,309.8981695586905,True,False,0.1263106236792846,0.7247183260534136,0.5984077023741289,0.0254745762613523,0.673134099776737,0.9930294753934926,0.1899114948388846,-0.3299904962180255,-0.999551765634627,26.0,5.0,0.997898517296377,1.0
D4.2__Fig 2__SQUID_data__IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103__IVB__T_1p40K[0.000029625],2,up,IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103,2.9625e-05,5.5,-2.040903e-05,-7.532667e-07,2445,increasing,1.0,0.0,False,missing_sign,,,,,,,,,,,,,,,,,,,,,,
D4.2__Fig 2__SQUID_data__IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103__IVB__T_1p40K[0.000030000],0,up,IVI_BS30_A1S1_I_contrl_+-0.15mA_285mK_191103,3e-05,5.5,-3.956516e-07,2.010891e-05,2533,increasing,1.0,0.0,False,low_overlap,0.0192933012966954,,,,,,,,,,,,,,,,,,,,,
