file_id,run_id,segment_id,segment_dir,x_name,axis_primary,n_points,is_bidirectional,is_cyclic,n_segments,is_time_series,has_direction_meta,source_file,cap_has_V,cap_has_I,cap_has_phi,cap_has_B,cap_has_gate,cap_has_time,V_mean,V_std,V_p95,V_range,dv_dx_mean_abs,dv_dx_median_abs,dv_dx_p95_abs,dv_dx_spike_rate,dv_dx_spike_thresh,knee_x,knee_slope_pre,knee_slope_post,knee_rss_ratio,K_max,K_at_max_x,knee_before_peak,H_incoh_raw,H_method,H_flat_raw,H_var_raw,eta_V_L1,eta_V_signed,knee_confident,parity_bit,parity_pre,parity_post,parity_flip_at_knee,H_incoh,eta_norm,knee_score_norm,knee_score_rank,parity_stability
220804133537_2_1_194_6,220804133537_2_1_194_6,0,up,VbiasSQUID1,VbiasSQUID1,101,False,False,1,False,False,Data_for_analysis\raw data\raw data\220804133537_2_1_194_6.dat,True,False,False,False,False,False,0.019812864336633665,0.02148236159052402,0.0506741956,0.0556286691,0.07227122425742571,0.04784450000000051,0.2054080749999998,6.2499999999921885,0.23922250000000256,0.768,0.005924771340194265,0.07685175120211551,0.05122393136560313,0.5919594405156892,0.496,True,0.03364544299404996,spectral_flatness,0.03364544299404996,0.06707062892278443,,,True,,,,,0.31780744720256343,,1.8626355226236242,1.0517427119076503,
220804133537_2_1_195_0,220804133537_2_1_195_0,0,up,VbiasSQUID1,VbiasSQUID1,101,False,False,1,False,False,Data_for_analysis\raw data\raw data\220804133537_2_1_195_0.dat,True,False,False,False,False,False,0.02153952895544554,0.02172614593522893,0.0507747777,0.0578645538,0.07422058719059405,0.05704298750000003,0.15545272499999996,3.749999999995313,0.28521493750000015,0.704,0.006111140265688257,0.07295180289560829,0.048645140837679214,0.7752634749505316,0.928,True,0.048824927891086105,spectral_flatness,0.048824927891086105,0.07196788620944557,,,True,,,,,0.474366322152799,,1.6343139020294442,0.9686227693524432,
220804133537_2_1_195_1,220804133537_2_1_195_1,0,up,VbiasSQUID1,VbiasSQUID1,101,False,False,1,False,False,Data_for_analysis\raw data\raw data\220804133537_2_1_195_1.dat,True,False,False,False,False,False,0.02202127686039604,0.02141752540442516,0.0512533644,0.0575377485,0.07338140662128709,0.05621520000000091,0.1713831374999999,3.749999999995313,0.28107600000000454,0.696,0.007885619753255276,0.07313569779845915,0.06223503857973934,3.8200286075214605,1.184,True,0.046202951551152435,spectral_flatness,0.046202951551152435,0.07271284933198434,,,True,,,,,0.447323661040741,,8.53974189209053,2.2554664297577705,
220804133537_2_1_195_2,220804133537_2_1_195_2,0,up,VbiasSQUID1,VbiasSQUID1,101,False,False,1,False,False,Data_for_analysis\raw data\raw data\220804133537_2_1_195_2.dat,True,False,False,False,False,False,0.02223536851584158,0.02118298182450547,0.0512429519,0.0578249892,0.07473274622524749,0.056609018749999684,0.17278651874999973,2.4999999999968754,0.2830450937499984,0.688,0.00580627924075391,0.07388615218921706,0.055596898753399876,16.274517083188833,0.64,True,0.04282073365997568,spectral_flatness,0.04282073365997568,0.0763138189276762,,,True,,,,,0.41243998537776894,,39.45911565350034,3.7002919741972238,
220804133537_2_1_195_3,220804133537_2_1_195_3,0,up,VbiasSQUID1,VbiasSQUID1,101,False,False,1,False,False,Data_for_analysis\raw data\raw data\220804133537_2_1_195_3.dat,True,False,False,False,False,False,0.022310180665346537,0.02090287004074193,0.0505810896,0.0567484193,0.07266316064356454,0.05917046250000002,0.14212265624999998,3.749999999995313,0.2958523125000001,0.68,0.004113764633204633,0.07517463754425265,0.08991824406836392,0.49821526015758677,0.952,True,0.048635696280899934,spectral_flatness,0.048635696280899934,0.07295596560793229,,,True,,,,,0.4724146164001517,,1.0546144062031444,0.7200881934580807,
220804133537_2_1_195_4,220804133537_2_1_195_4,0,up,VbiasSQUID1,VbiasSQUID1,101,False,False,1,False,False,Data_for_analysis\raw data\raw data\220804133537_2_1_195_4.dat,True,False,False,False,False,False,0.02220554804455446,0.020769923976414865,0.050808928,0.0565548473,0.0724192238242575,0.06111518749999956,0.14935639374999976,3.749999999995313,0.3055759374999978,0.688,0.0063247879682313815,0.07444053480254124,0.06828877308469632,2.0867000677349874,1.152,True,0.0509103977780621,spectral_flatness,0.0509103977780621,0.07810573010317752,,,True,,,,,0.49587553814149876,,4.208112534753301,1.6502175127283667,
220804133537_2_1_195_5,220804133537_2_1_195_5,0,up,VbiasSQUID1,VbiasSQUID1,101,False,False,1,False,False,Data_for_analysis\raw data\raw data\220804133537_2_1_195_5.dat,True,False,False,False,False,False,0.022138458810891083,0.020759948559120917,0.050853082,0.0557899863,0.07089016559405938,0.05679818749999965,0.14603742499999983,2.4999999999968754,0.28399093749999826,0.696,0.006147343752051644,0.07368117128996261,0.04966616851920036,0.98845119318894,0.944,True,0.049764221572600444,spectral_flatness,0.049764221572600444,0.07579069115924547,,,True,,,,,0.4840540528645614,,2.0420264789384324,1.1125238982497214,
220804133537_2_1_195_6,220804133537_2_1_195_6,0,up,VbiasSQUID1,VbiasSQUID1,101,False,False,1,False,False,Data_for_analysis\raw data\raw data\220804133537_2_1_195_6.dat,True,False,False,False,False,False,0.02183826196831683,0.020866626200942807,0.050742885,0.0553875969,0.07223267524752476,0.05404184999999995,0.14831466874999988,3.749999999995313,0.27020924999999973,0.712,0.005386184670497184,0.07417398030076679,0.047300117244530586,3.1783610299950658,0.928,True,0.04677375658238631,spectral_flatness,0.04677375658238631,0.0722428602105037,,,True,,,,,0.45321085643057657,,7.012985203003226,2.0810633761703956,
220804133537_2_1_196_0,220804133537_2_1_196_0,0,up,VbiasSQUID1,VbiasSQUID1,101,False,False,1,False,False,Data_for_analysis\raw data\raw data\220804133537_2_1_196_0.dat,True,False,False,False,False,False,0.0222723396990099,0.021425333913236873,0.0510684981,0.0577034835,0.07382060290841597,0.05574153124999981,0.1494160687499999,3.749999999995313,0.27870765624999905,0.688,0.008614472635135132,0.07178341812414152,0.06464420266927076,101.04578528543851,0.808,True,0.048544458850914574,spectral_flatness,0.048544458850914574,0.07180579167887198,,,True,,,,,0.47147360756561296,,214.31907038648413,5.372120976325477,
220804133537_2_1_196_1,220804133537_2_1_196_1,0,up,VbiasSQUID1,VbiasSQUID1,101,False,False,1,False,False,Data_for_analysis\raw data\raw data\220804133537_2_1_196_1.dat,True,False,False,False,False,False,0.022660031578217825,0.02143929792792181,0.0517816446,0.0582417127,0.07510079659653496,0.05848908124999985,0.13725372499999966,2.4999999999968754,0.29244540624999926,0.68,0.004916478412162156,0.07323205105059004,0.05950821408474669,1.3876936548951104,0.44,True,0.04591831627846965,spectral_flatness,0.04591831627846965,0.07297480741118087,,,True,,,,,0.4443879765715617,,3.1227074719662706,1.4165101009205683,
